district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Mumbai Suburban,P51800012880,Jaliyan Heights Goregaon,Jaliyan Developer,400063,"('19.164810899999999','72.853271500000005')",On-Going Project,12/31/2021,12/30/2022,12/30/2024,Others,1190.0,163.83,1185.63,03/07/2024,,,81.0,74.0,0.0,1.0,0.0,16.0,1.0,0.0,50.0,0.0,0.0,0.0
Mumbai Suburban,P51800014328,Ruparel Elara,Shree Siddhivinayak Infrastructure & Realty,400067,"('19.205193999999999','72.833568000000000')",On-Going Project,12/31/2019,12/31/2019,12/30/2023,Residential,1302.51,110.32,3818.0,05/30/2023,,2.0,84.0,84.0,0.0,1.0,0.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800012513,Ruparel Skygreens I,Shree Siddhivinayak Infrastructure & Realty,400067,"('19.207236600000002','72.834822099999997')",On-Going Project,12/31/2021,12/30/2022,12/30/2025,Residential,10792.62,1227.8,25345.0,05/30/2023,,10.0,456.0,456.0,0.0,1.0,0.0,43.0,3.0,0.0,480.0,0.0,0.0,0.0
Mumbai Suburban,P51800008715,Dhoot Sky Residency-New Sonali CHSL,DHOOT DEVELOPERS PVT. LTD.,400064,"('19.187229400000000','72.840747300000004')",On-Going Project,12/31/2019,06/30/2021,12/31/2022,Residential,1057.5,160.0,3140.0,12/07/2022,,,42.0,31.0,0.0,1.0,0.0,22.0,1.0,0.0,54.0,0.0,0.0,0.0
Mumbai Suburban,P51800014152,ANDHERI INDIRA NAGAR CHS LIMITED,JASPAL SINGH SURI,400058,"('19.122734600000001','72.830201299999999')",On-Going Project,12/12/2013,12/31/2018,09/30/2023,Others,3400.0,510.0,5256.14,01/10/2024,,6.0,138.0,125.0,0.0,2.0,1.0,13.0,0.0,22.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800013483,TILAK NAGAR UNION CO-OPERATIVE HOUSING SOCIETY LTD,OM SAI ENTERPRISES,400089,"('19.068535499999999','72.900320899999997')",On-Going Project,12/31/2021,12/30/2022,12/30/2023,Residential,1505.0,800.24,5488.0,03/13/2024,,,113.0,67.0,0.0,1.0,0.0,16.0,1.0,3.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800012859,NAVGHAR ROAD SANKALP CHS LTD MULUND,DHANSHREE DEVELOPERS PVT LTD,400081,"('19.166069600000000','72.964562799999996')",On-Going Project,06/30/2021,06/30/2022,,Residential,1512.75,544.69,3781.87,08/17/2017,,15.0,145.0,135.0,0.0,1.0,0.0,19.0,1.0,0.0,27.0,0.0,0.0,0.0
Mumbai Suburban,P51800012455,PAI NIWAS,AAKAR CONSTRUCTIONS,400104,"('19.161867999999998','72.838857000000004')",On-Going Project,12/31/2017,12/31/2017,,Residential,516.0,0.0,1390.33,08/26/2019,,,19.0,17.0,0.0,1.0,0.0,11.0,1.0,6.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800008920,CHEMBUR NANDADEEP CHS LTD,OM SAI DEVELOPERS,400071,"('19.052112200000000','72.900667999999996')",On-Going Project,08/31/2022,08/28/2023,,Residential,1407.0,757.0,3864.0,01/19/2024,,,65.0,41.0,0.0,1.0,0.0,15.0,1.0,15.0,72.0,0.0,0.0,0.0
Mumbai Suburban,P51800009569,PALLADIUM,CHHEDA BUILDERS,400103,"('19.250062000000000','72.848022999999998')",On-Going Project,12/31/2020,12/30/2021,,Residential,3047.9,277.5,5442.59,07/28/2022,1.0,,63.0,46.0,0.0,1.0,2.0,20.0,1.0,13.0,104.0,0.0,0.0,0.0
Mumbai Suburban,P51800010768,gagangiri Elanza,Palan Realty Private Limited,400081,"('19.162234852163646','72.955655599282860')",New Project,03/30/2022,,12/31/2023,Residential,1488.85,119.47,8515.78,01/04/2024,,,73.0,68.0,0.0,1.0,7.0,31.0,1.0,0.0,110.0,0.0,0.0,0.0
Mumbai Suburban,P51800008534,Dhoot Pride Residency-Devidayal Apartment,DHOOT DEVELOPERS PVT. LTD.,400080,"('19.172080399999999','72.948255000000003')",New Project,12/30/2023,,12/31/2026,Residential,1672.2,251.31,1212.87,01/15/2024,1.0,1.0,37.0,5.0,0.0,1.0,3.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800009548,TORNA APARTMENT,RAJMUDRA CONSTRUCTION PVT LTD,400066,"('19.231344799999999','72.863529900000003')",On-Going Project,06/30/2017,01/31/2018,,Residential,508.9,0.0,1010.86,08/04/2021,,,21.0,19.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800010621,UPKAR CHS LTD,TEJAS DINESH SHAH,400063,"('19.229876000000000','72.824679000000000')",On-Going Project,03/31/2018,09/30/2018,,Residential,471.2,0.0,837.5,11/29/2019,,,16.0,16.0,0.0,1.0,0.0,8.0,1.0,2.0,10.0,0.0,0.0,0.0
Mumbai Suburban,P51800012707,Srushti Vihar,CHINNAIAH VENKATESH GOWDA,400089,"('19.069570000000000','72.894725000000000')",On-Going Project,11/01/2022,11/01/2023,,Residential,1549.12,0.0,3599.8,03/31/2023,,,87.0,69.0,0.0,1.0,0.0,16.0,1.0,10.0,20.0,0.0,0.0,0.0
Mumbai Suburban,P51800010149,AISHWARYA BUILDING,TEJAS DINESH SHAH,400062,"('19.219402000000000','72.840199000000000')",On-Going Project,08/31/2020,02/28/2022,,Residential,1007.4,0.0,979.64,03/22/2024,,,43.0,13.0,0.0,1.0,0.0,20.0,1.0,8.0,24.0,0.0,0.0,0.0
Mumbai Suburban,P51800011066,SIDDHIVINAYAK,Triumph Ventures,400066,"('19.218938000000000','72.857690000000000')",New Project,06/30/2021,,12/31/2023,Residential,1940.0,511.0,6145.19,01/25/2024,1.0,1.0,146.0,128.0,6.0,3.0,0.0,66.0,3.0,0.0,3.0,0.0,0.0,0.0
Mumbai Suburban,P51800013176,Kenorita Jewels,K R Shoppers Pvt. Ltd.,400104,"('19.163044500000002','72.839299499999996')",On-Going Project,07/31/2017,12/31/2017,,Residential,4233.5,765.16,4858.18,01/24/2020,5.0,,66.0,52.0,1.0,1.0,3.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800010193,NEW SIMIT APARTMENT,RELIABLE BUILDHIGHTS LLP,400064,"('19.187229400000000','72.840747300000004')",On-Going Project,10/10/2019,10/10/2019,12/31/2024,Residential,472.5,0.0,897.5,05/28/2022,,11.0,18.0,15.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800010650,SOLOMON RESIDENCY,VINAYAKA REALTORS AND DEVELOPERS,400070,"('19.074105899999999','72.880418300000002')",On-Going Project,12/31/2019,12/31/2019,12/30/2021,Others,367.5,0.0,608.0,06/06/2023,,,24.0,24.0,0.0,1.0,0.0,9.0,1.0,5.0,5.0,0.0,0.0,0.0
Mumbai Suburban,P51800012931,HAVA HIRA CHS,Patel Developers,400064,"('19.187229400000000','72.840747300000004')",On-Going Project,08/01/2015,04/30/2023,,Residential,1107.6,0.0,1739.76,02/19/2020,1.0,14.0,33.0,25.0,0.0,1.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800012980,Aman,Patel Developers,400062,"('19.159339599999999','72.842685799999998')",On-Going Project,05/01/2017,04/30/2023,,Residential,713.96,0.0,530.33,08/15/2017,,,28.0,16.0,0.0,1.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800011001,Elegance,JAYCEE HOMES PRIVATE LIMITED,400053,"('19.113645000000002','72.869733900000000')",On-Going Project,07/30/2017,07/31/2018,,Residential,304.41,0.0,1027.13,12/17/2020,,7.0,14.0,14.0,0.0,1.0,0.0,15.0,1.0,8.0,9.0,0.0,0.0,0.0
Mumbai Suburban,P51800010698,ANAND,AASTHA ENTERPRISES,400086,"('19.086661857850466','72.905021716537480')",On-Going Project,12/31/2018,12/30/2024,,Residential,2248.07,337.21,5903.2,01/03/2024,,,48.0,27.0,1.0,1.0,1.0,12.0,1.0,15.0,85.0,0.0,0.0,0.0
Mumbai Suburban,P51800012775,Tagore Nagar Nandadeep CHS Ltd,Samarth Krupa Developers,400083,"('19.114426000000000','72.932576000000000')",On-Going Project,12/01/2022,12/01/2023,,Residential,832.5,0.0,958.04,12/28/2019,,2.0,81.0,50.0,0.0,1.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800009954,NISHCHAY WING F,SHREERAJ DEVELOPER LLP,400068,"('19.243665000000000','72.861139000000000')",On-Going Project,12/31/2023,12/30/2024,,Residential,362.57,0.0,7000.0,05/10/2023,,1.0,167.0,163.0,2.0,1.0,1.0,23.0,1.0,0.0,75.0,0.0,0.0,0.0
Mumbai Suburban,P51800012979,SILVER AVENUE,AFROZ ALI SYED,400067,"('19.207236600000002','72.834822099999997')",On-Going Project,03/31/2019,06/30/2021,03/31/2026,Residential,867.86,0.0,1302.68,12/02/2023,3.0,,23.0,20.0,1.0,1.0,0.0,9.0,1.0,10.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800012754,ISPAT CORPORATION,ISPAT CORPORATION,400029,"('19.079670300000000','72.867896999999999')",On-Going Project,03/31/2019,12/31/2019,,Commercial,334.8,0.0,903.96,07/02/2018,,2.0,14.0,9.0,0.0,1.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800010958,SANGHVI JEWEL,SANGHVI REALTORS,400064,"('19.183717999999999','72.845280000000003')",On-Going Project,12/31/2018,12/31/2018,09/30/2024,Commercial,2080.2,256.35,3933.48,02/20/2024,,,44.0,7.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800013355,CENTRAL PARK,SHREE GANESH ENTERPRISES,400071,"('19.052112200000000','72.900667999999996')",On-Going Project,12/31/2019,12/31/2019,12/31/2024,Mixed (Plots & Buildings),3542.0,542.47,5432.8,02/21/2024,,,53.0,30.0,1.0,1.0,0.0,16.0,1.0,0.0,49.0,0.0,0.0,0.0
Mumbai Suburban,P51800012674,Malwani Sea View CHS LTD,Malwani Sea View CHS LTD,400095,"('19.178395999999999','72.812987000000007')",On-Going Project,03/31/2018,03/31/2018,,Residential,896.75,0.0,1791.15,03/31/2018,,,35.0,14.0,0.0,1.0,0.0,10.0,8.0,13.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800010979,REDEVELOPMENT OF STATE BANK OF INDIA EMPLOYEES SHREE CO-OP HOUSING SOC LTD,ORRA REALTORS PRIVATE LIMITED,400058,"('19.122734600000001','72.830201299999999')",On-Going Project,12/31/2020,12/30/2021,,Residential,538.0,0.0,1451.97,01/06/2020,1.0,,19.0,17.0,0.0,1.0,0.0,12.0,1.0,7.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800011626,VKLAL VISHNU PHASE I,VEEKAYLAL INVESTMENT COMPANY PRIVATE LIMITED,400068,"('19.246671300000000','72.871632099999940')",New Project,12/30/2023,,12/29/2024,Residential,2031.0,787.92,7800.83,01/19/2024,8.0,1.0,336.0,56.0,1.0,1.0,0.0,23.0,1.0,7.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51900014250,GHANSHAM HEIGHT,GHANSHAM PROPERTIES,400067,"('19.207236600000002','72.834822099999997')",On-Going Project,09/30/2017,12/31/2017,,Residential,584.57,0.0,584.57,03/11/2021,,,11.0,0.0,0.0,0.0,0.0,12.0,1.0,4.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800012773,GURU OMKAR CHSL,SISCORN DEVELOPERS & BUILDERS,400068,"('19.259095400000000','72.833823400000000')",On-Going Project,12/31/2017,12/31/2018,06/30/2023,Residential,504.7,0.0,763.46,08/27/2021,,,29.0,25.0,0.0,1.0,0.0,8.0,1.0,0.0,8.0,0.0,0.0,0.0
Mumbai Suburban,P51800012990,Malwani Asha Jeevan CHS LTD,Malwani Asha Jeevan CHS LTD,400095,"('19.175453000000001','72.815595999999999')",On-Going Project,03/31/2017,03/31/2018,,Residential,1168.0,0.0,2335.46,03/29/2018,,,41.0,33.0,0.0,1.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800011181,Serenity- Bldg 1,JVPD Properties Private Limited,400076,"('19.070124000000000','72.900610999999998')",On-Going Project,07/30/2025,07/30/2026,,Residential,301.59,0.0,314.1,08/16/2017,,278.0,86.0,0.0,0.0,1.0,0.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800010846,REDEVELOPMENT OF THE STATE BANK OF INDIA SIDDHESHWAR CO OP HOUSING SOC LTD,ORRA REALTORS PRIVATE LIMITED,400077,"('19.077873700000001','72.905562700000004')",On-Going Project,12/31/2017,12/31/2017,,Residential,650.5,0.0,1756.25,01/06/2020,,,20.0,20.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800013015,UNITED ELICAS,II WALLS INFRA LLP,400071,"('19.052112200000000','72.900667999999996')",New Project,12/30/2024,,,Residential,511.0,0.0,510.7,05/15/2023,,,24.0,9.0,0.0,1.0,0.0,11.0,1.0,0.0,11.0,0.0,0.0,0.0
Mumbai Suburban,P51800012895,Malwani West View CHS LTD,Malwani West View CHS LTD,400095,"('19.178515999999998','72.812929999999994')",On-Going Project,03/31/2017,03/31/2018,,Residential,1320.0,0.0,2638.87,03/29/2018,,,48.0,31.0,0.0,1.0,0.0,14.0,12.0,12.0,12.0,0.0,0.0,0.0
Mumbai Suburban,P51800012730,AL SHIFA,SQUARE HOUSING DEVELOPMENT CORPORATION,400070,"('19.074105899999999','72.880418300000002')",On-Going Project,12/31/2018,12/31/2019,12/30/2023,Residential,468.1,0.0,981.0,04/06/2023,12.0,1.0,61.0,22.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800013380,Andheri Sriram Krupa and Gurudev Nityanand Co-operative Housing Society,PARSH HOUSING PVT LTD,400085,"('19.043801999999999','72.912096800000000')",New Project,09/30/2021,,03/30/2023,Others,1118.2,0.0,28350.0,04/28/2023,,,47.0,20.0,0.0,3.0,0.0,24.0,3.0,0.0,3.0,0.0,0.0,0.0
Mumbai Suburban,P51800012569,Gayatri Bhuvan,Indra Realtors,400062,"('19.185514000000001','72.842146999999997')",New Project,12/31/2017,,,Others,267.6,0.0,267.6,12/19/2018,,,11.0,5.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800013711,SAI DARSHAN,SHAH PATEL & CO,400058,"('19.122734600000001','72.830201299999999')",New Project,12/30/2021,,12/31/2024,Residential,775.5,0.0,823.04,02/28/2024,,,34.0,17.0,0.0,1.0,0.0,10.0,1.0,2.0,14.0,0.0,0.0,0.0
Mumbai Suburban,P51800011943,AUDUMBAR,VAS BUILDER & DEVELOPERS,400066,"('19.238180000000000','72.860450000000000')",On-Going Project,12/31/2019,12/31/2019,,Residential,401.5,0.0,401.5,09/25/2023,,,12.0,5.0,0.0,1.0,0.0,8.0,1.0,4.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800010627,SHRI HARI BUILDING,SHRI NEELKANTH DEVELOPERS,400066,"('19.235035000000000','72.860882000000004')",On-Going Project,11/30/2018,01/31/2019,01/30/2020,Residential,402.1,0.0,782.13,06/21/2021,,,26.0,26.0,0.0,1.0,0.0,8.0,1.0,1.0,9.0,0.0,0.0,0.0
