district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Pune,P52100001810,Saarrthi Serenity,Siddharth Real Ventures Limited Liability Partnership,411038,"('19.077873700000000','72.905562700000000')",On-Going Project,03/31/2019,03/31/2019,,Others,1412.0,0.0,3160.0,11/03/2021,,,50.0,46.0,1.0,1.0,0.0,13.0,1.0,28.0,28.0,0.0,0.0,0.0
Pune,P52100001547,Atria Business Center,Atria Developers,413102,"('15.705320800000000','73.962432700000000')",On-Going Project,12/31/2018,12/31/2018,,Commercial,2607.0,0.0,3389.1,02/02/2019,,,58.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Pune,P52100001632,MAVENS VIAAN,MAVENS PROPERTIES,411060,"('19.015830600000000','72.829392100000000')",On-Going Project,10/15/2018,12/31/2019,12/30/2021,Residential,3982.0,537.17,10738.0,03/29/2023,,,159.0,52.0,0.0,2.0,0.0,25.0,2.0,58.0,101.0,0.0,0.0,0.0
Pune,P52100006467,664 park Avenue,G P Realty,411004,"('19.171452200000000','73.119074200000000')",On-Going Project,12/31/2020,12/30/2023,,Commercial,1313.2,0.0,1273.42,07/03/2018,,,6.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,44.0,0.0,0.0,0.0
Pune,P52100006662,ATHARVA APARTMENT,EVEREST DEVELOPERS,411058,"('19.171452200000000','73.119074200000000')",On-Going Project,03/31/2017,12/31/2019,12/31/2020,Residential,450.0,0.0,337.5,07/13/2020,,,12.0,5.0,0.0,1.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0
Pune,P52100000455,NYATI EVARA I,NYATI BUILDERS PRIVATE LIMITED,411060,"('19.171452200000000','73.119074200000000')",On-Going Project,12/30/2018,06/30/2019,,Residential,13988.05,2153.24,17048.67,12/24/2019,2.0,,240.0,184.0,0.0,5.0,0.0,65.0,5.0,0.0,70.0,0.0,0.0,0.0
Pune,P52100003880,SWAPNASHILP,FUTURISTIC HOMES,411057,"('19.171452200000000','73.119074200000000')",New Project,12/30/2019,,,Others,556.48,0.0,409.52,09/18/2022,,,9.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,9.0,0.0,0.0,0.0
Pune,P52100000702,AKSHARDHAM,MAHALAXMI CONSTRUCTION,412114,"('19.171452200000001','73.119074200000000')",On-Going Project,01/26/2019,04/30/2019,,Residential,2500.0,232.77,2313.85,03/14/2019,,,68.0,51.0,0.0,5.0,0.0,25.0,5.0,6.0,8.0,0.0,0.0,0.0
Pune,P52100001028,EMERALD PH-IV,GAWADE CONSTRUCTION COMPANY,411057,"('18.598949000000001','73.765270999999998')",On-Going Project,06/30/2019,06/30/2019,,Residential,3206.9,275.49,3603.0,03/02/2020,,,76.0,65.0,0.0,1.0,0.0,11.0,0.0,36.0,40.0,0.0,0.0,0.0
Pune,P52100000860,NYATI ELYSIA I,NITIN DWARKADAS NYATI,411014,"('18.541312999999999','73.939920999999998')",On-Going Project,05/31/2020,03/30/2022,,Residential,19533.48,1745.7,36910.8,11/18/2021,,,613.0,446.0,0.0,5.0,12.0,144.0,5.0,0.0,63.0,0.0,0.0,0.0
Pune,P52100000570,Rajyog annexe,Jhala and kodre associates,411041,"('18.462895303783280','73.803932476022740')",On-Going Project,04/30/2019,10/31/2019,10/30/2021,Residential,2669.68,0.0,5803.41,06/22/2023,1.0,,99.0,96.0,0.0,2.0,0.0,15.0,2.0,18.0,80.0,0.0,0.0,0.0
Pune,P52100001391,Megapolis Mystic Phase 2,Pegasus Properties Pvt. Ltd.,411057,"('18.576270087971840','73.680249497028400')",On-Going Project,03/01/2020,03/01/2020,,Residential,10869.99,1086.9,19565.99,04/15/2023,,,214.0,135.0,4.0,2.0,0.0,44.0,2.0,22.0,277.0,0.0,0.0,0.0
Pune,P52100002288,Ashirwad The Living B Wing,Ashirwad Associates,411014,"('18.675861000000001','73.811428000000006')",On-Going Project,03/31/2018,07/31/2018,,Residential,3999.23,360.63,5236.23,07/22/2019,,1.0,77.0,48.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
Pune,P52100007877,CHANDRALOK NAGARI,YASHASHREE ASSOCAITES,411041,"('18.882777000000001','72.987392400000005')",On-Going Project,03/31/2018,06/30/2018,,Others,11100.0,1085.87,9363.82,08/20/2021,,,92.0,80.0,0.0,2.0,0.0,15.0,2.0,24.0,31.0,0.0,0.0,0.0
Pune,P52100000561,CYPRUS,BENCHMARK TOWN PLANNING LLP,411033,"('18.635045999999999','73.742123000000007')",On-Going Project,06/30/2020,06/30/2022,,Residential,5245.0,518.05,2070.43,08/29/2023,,1.0,108.0,50.0,0.0,1.0,0.0,15.0,1.0,16.0,32.0,0.0,0.0,0.0
Pune,P52100005796,A WING B WING,BHAGYALAXMI ASSOCIATES,411034,"('18.990669799999999','73.109652100000005')",On-Going Project,01/01/2018,06/01/2018,,Residential,1580.24,1609.14,2585.47,10/20/2023,,,142.0,86.0,0.0,3.0,1.0,20.0,3.0,0.0,63.0,0.0,0.0,0.0
Pune,P52100002326,SNEHAVISHWA APARTMENTS,SNEHAVISHWA ASSOCIATES,411004,"('18.990669799999999','73.109652100000005')",On-Going Project,12/31/2017,06/30/2018,,Residential,731.47,0.0,997.2,04/13/2019,,,9.0,8.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Pune,P52100001689,Sara Metroville B,Sara Infrastructures,411033,"('18.636631000000001','73.744320999999999')",On-Going Project,09/30/2018,09/30/2019,,Residential,534.05,560.67,5867.36,09/17/2021,,,108.0,108.0,0.0,1.0,0.0,15.0,1.0,64.0,35.0,0.0,0.0,0.0
Pune,P52100011553,YASHWANT APARTMENT,M/S SHREERAM BUILDERS,411009,"('18.990669799999999','73.109652100000005')",On-Going Project,10/31/2017,12/31/2017,,Residential,557.4,0.0,880.09,08/17/2023,,,12.0,12.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
