district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Palghar,P99000010380,Sai Paradise,Sai Paradise,401404,"('19.690308999999999','72.761743999999993')",On-Going Project,03/31/2017,11/30/2018,,Others,3175.0,317.5,2536.0,07/23/2019,,,54.0,15.0,0.0,3.0,0.0,15.0,3.0,52.0,3.0,0.0,0.0,0.0
Palghar,P99000012069,SOLITAIRE HIGHWAY,AAKAR REALTORS,401208,"('19.408332000000001','72.881038000000004')",On-Going Project,07/31/2018,12/31/2018,,Industrial,5539.8,0.0,4141.77,08/02/2021,,,29.0,29.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Palghar,P99000010131,MARIYAM MANZIL,AJMAL DEVELPERS,401201,"('19.369526199999999','72.786551799999998')",On-Going Project,12/31/2023,12/30/2025,,Residential,891.3,0.0,763.79,07/31/2017,,,28.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0
Palghar,P99000004618,IDEAL VIEW,SHREE SHIV SHAKTI ENTERPRISES,401404,"('19.405448600000000','72.830869199999995')",On-Going Project,12/31/2018,12/31/2019,12/31/2024,Residential,1568.9,0.0,1569.0,02/22/2022,,1.0,29.0,25.0,0.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0
Palghar,P99000009593,PRITHVI SRISHTI,PRITHVI ANAND REALTY,401404,"('19.693558100000001','72.765518400000005')",On-Going Project,06/30/2018,06/30/2018,,Others,3967.44,0.0,2114.4,12/05/2019,1.0,,65.0,52.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Palghar,P99000006027,Shree Durga Nagar Complex,SHREE LAXMI SAHARA BUILDERS AND DEVELOPERS,401209,"('19.415065999999999','72.830276999999995')",On-Going Project,12/31/2018,12/31/2019,12/30/2021,Residential,9210.0,1299.16,4094.5,07/08/2021,,,78.0,50.0,0.0,2.0,0.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0
Palghar,P99000006316,KONARK EMBESSY,UNIVERSAL REALTORS,401207,"('19.346796000000001','72.819051999999999')",On-Going Project,12/31/2018,12/31/2018,,Residential,5485.31,0.0,5485.31,10/02/2018,,,90.0,19.0,0.0,1.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0,0.0
Palghar,P99000004057,SAI RACHANA APARTMENT,Singh enterprises Builders & developers,401404,"('19.749187200000002','72.786551799999998')",On-Going Project,07/01/2020,06/30/2021,06/30/2024,Others,2386.45,3203.83,2386.45,07/12/2021,,,57.0,12.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0
Palghar,P99000005384,ARPAN RESIDENCY,AKASH DEVELOPERS,401203,"('19.416676100000000','72.798370500000004')",On-Going Project,05/31/2017,05/31/2019,11/29/2022,Others,297.45,99.84,2243.0,06/01/2023,,,80.0,49.0,0.0,1.0,0.0,13.0,1.0,4.0,1.0,0.0,0.0,0.0
Palghar,P99000005927,SHREE KRISHNA HEIGHTS,SHREE KRISHNA REALITY,401208,"('19.373481999999999','72.886993000000004')",On-Going Project,12/31/2023,12/30/2025,,Residential,938.79,40.0,1479.97,02/05/2024,,,54.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,17.0,0.0,0.0,0.0
