district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking
Nagpur,P50500052804,KANCHANGANGA LEGACY,VISHAL INFRAVENTURE,440037,,New Project,12/31/2030,,,Residential,2138.0,0.0,6877.27,10/25/2023,,,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,1.0
Nagpur,P50500053490,HERITAGE PARK,HERITAGE BUILDERS AND DEVELOPERS,440034,,New Project,09/30/2028,,,Residential,1936.56,0.0,3388.78,10/16/2023,,,47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,67.0,0.0
Nagpur,P50500053676,Gokul Nagari-II,Radhe Govind Infra,441501,,New Project,03/31/2026,,,Plots,5251.95,843.61,0.0,02/20/2024,,,,,3.0,612.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053808,ALTAIR,SRI BHAGIRATH REALTY PRIVATE LIMITED,440001,,New Project,12/31/2026,,,Residential,3188.1,0.0,19856.68,10/23/2023,,,42.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,25.0,3.0,0.0,170.0
Nagpur,P50500055112,Sahayog Gold,Sahayog Properties,441108,"('20.949993000000000','79.013106000000000')",New Project,09/30/2026,,,Plots,12389.33,1865.05,0.0,02/13/2024,,,,,14.0,1824.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053812,ELITE JASMINE - 2,Narendra Shivajirao Wagh,441103,,New Project,12/31/2027,,,Plots,5151.01,849.66,0.0,10/05/2023,,,,,2.0,1451.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053681,ARHUM TULSI,BANGANAGAR PLYWOOD LIMITED,440013,,New Project,03/31/2028,,,Residential,997.92,0.0,2337.07,10/17/2023,,,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,31.0,0.0
Nagpur,P50500054071,ROKADE NAGARI-1,M/s Shubhlaxmi Developers,441204,,New Project,12/31/2028,,,Plots,9000.0,862.2,0.0,11/07/2023,,,,,6.0,509.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053785,MAHALAXMI NAGAR 32,ARA HABITATS LLP,441108,,New Project,11/25/2028,,,Plots,9364.76,1412.73,0.0,02/28/2024,,,,,9.0,1961.95,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500053251,LE GRANDE ROYALE,VRINDAVAN CONSTRUCTIONS NAGPUR,440010,,New Project,10/15/2027,,,Residential,1425.86,0.0,7965.0,01/12/2024,,,60.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,1.0
