district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Nashik,P51600006300,TREASURE PARK PHRASE -1,KANAKLAXMI DEVELOPERS,422003,"('21.049485800000000','79.043318000000000')",On-Going Project,03/31/2017,12/31/2017,12/31/2018,Residential,2024.0,202.4,1798.27,04/22/2023,,,25.0,25.0,0.0,1.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0
Nashik,P51600010473,SAI VANDAN RESIDENCY,SIDDHIVINAYAK BUILDCON,422003,"('18.502275000000000','73.858497000000000')",On-Going Project,10/15/2017,12/31/2017,,Residential,673.09,673.09,672.68,02/05/2022,,,24.0,15.0,0.0,1.0,0.0,5.0,0.0,2.0,15.0,0.0,0.0,0.0
Nashik,P51600008267,Thakkers Richmond Heights,Pratap Marketing Pvt Ltd,422002,"('18.581746900000000','73.981705600000000')",On-Going Project,03/31/2017,08/31/2018,,Residential,600.21,0.0,835.16,01/12/2019,,,20.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600005757,Dhatrak Heights,Khilendrakumar Dilip Mohabiya,422101,"('19.949004000000000','73.837692100000000')",On-Going Project,12/31/2017,12/31/2017,,Residential,471.42,0.0,741.46,06/18/2019,,,16.0,12.0,0.0,1.0,0.0,5.0,1.0,0.0,15.0,0.0,0.0,0.0
Nashik,P51600005114,EMPIRE,SHREE SIDDHIVINAYAK DEVELOPERS,422403,"('19.206698200000000','77.297978200000000')",On-Going Project,01/31/2021,10/31/2020,12/31/2023,Residential,2898.0,0.0,7901.09,02/15/2024,,,130.0,100.0,2.0,2.0,0.0,12.0,0.0,86.0,0.0,0.0,0.0,0.0
Nashik,P51600004790,KABRA HEIGHTS,Manoj Madhukar Toshniwal,422010,"('19.116619100000000','72.937422700000000')",On-Going Project,12/31/2017,12/31/2017,10/30/2020,Residential,391.5,0.0,545.13,04/13/2023,,,14.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600007197,SHAHS GOVIND APARTMENT PHASE I,SHAH BUILDERS AND DEVELOPERS,422401,"('18.599079000000000','73.786285200000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,1175.0,200.0,327.9,10/29/2020,,,8.0,8.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Nashik,P51600009652,SAMARTH PLAZA APARTMENT,SHREE SAMARTH BUILDERS AND DEVELOPERS,422009,"('21.102880300000000','79.027777400000000')",On-Going Project,03/31/2021,12/31/2020,06/30/2023,Residential,637.14,0.0,130671.0,05/10/2022,,,16.0,15.0,0.0,1.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,0.0
Nashik,P51600003498,SHASHI ANAND ENCLAVE,ANAND PREM ASSOCIATES,422009,"('21.080199700000000','79.120277200000000')",On-Going Project,12/31/2018,03/31/2019,,Others,1527.0,0.0,1103.0,07/13/2019,,,36.0,31.0,0.0,2.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600010830,RAJ ASSOCIATE,RAJ ASSOCIATES,422403,"('21.133137600000000','78.906192100000000')",New Project,12/30/2022,,,Residential,1184.0,0.0,2339.0,04/13/2023,,,78.0,0.0,0.0,1.0,0.0,8.0,1.0,5.0,1.0,0.0,0.0,0.0
