district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Raigarh,P52000019198,LAKSHADEEP CORNER,LAKSHADEEP GROUP,410206,,New Project,12/30/2022,,,Others,259.93,0.0,389.45,10/06/2023,,,9.0,7.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
Raigarh,P52000019472,RADHA KRISHNA COMPLEX,DIMENSION BUILDERS & DEVELOPERS,402109,,New Project,12/30/2023,,,Residential,1800.0,0.0,1525.47,03/01/2024,,,44.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000019001,ARIHANT ALOKI PHASE III,ARIHANT AASHIYANA PRIVATE LIMITED,410201,"('18.910740000000000','73.314912000000000')",New Project,12/30/2024,,,Residential,7118.62,728.72,7488.78,02/07/2024,1.0,,225.0,0.0,0.0,2.0,0.0,21.0,2.0,31.0,50.0,0.0,0.0,0.0
Raigarh,P52000019077,shree krupa paradise,TIRUMALLA DEVELOPERS,402107,"('18.743234000000000','73.094772000000000')",New Project,06/30/2023,,,Residential,3230.0,0.0,3875.91,12/21/2018,,,109.0,0.0,0.0,2.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0
Raigarh,P52000019111,SHIVESH AURA,SHIVESH DEVELOPERS LLP,410206,,New Project,12/30/2021,,,Residential,149.97,0.0,428.42,10/12/2021,,,11.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0
Raigarh,P52000019170,Sai Malhar Residency,Mudra Developers,410201,,New Project,12/30/2023,,,Others,1061.8,0.0,1556.71,02/26/2022,,,6.0,6.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000020321,ASHTAVINAYAK APARTMENT,ASHTAVINAYAK BUILDERS AND DEVELOPERS,410206,,New Project,12/30/2023,,,Residential,479.76,5.2,719.64,05/20/2022,,,30.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000019252,SHREEPATI CORNER,GURUKRUPA DEVELOPERS,410206,,New Project,12/30/2023,,,Others,499.89,0.0,748.81,04/21/2023,,,31.0,31.0,0.0,1.0,0.0,5.0,1.0,0.0,9.0,0.0,0.0,0.0
Raigarh,P52000019237,SHREEPATI AVENUE,GURUKRUPA DEVELOPERS,410206,,New Project,12/30/2023,,,Others,600.0,0.0,899.09,04/04/2023,,,,,0.0,1.0,0.0,7.0,1.0,0.0,10.0,0.0,0.0,0.0
Raigarh,P52000019250,NIRMAL GANESH,NEELKAMAL BUILDERS PRIVATE LIMITED,410206,"('18.957403300000000','73.143090499999970')",New Project,12/30/2022,,,Others,965.0,0.0,878.89,10/12/2023,,,27.0,27.0,0.0,1.0,0.0,4.0,1.0,6.0,4.0,0.0,0.0,0.0
Raigarh,P52000019347,MICRON PRIDE,MICRON BUILD TECH,410206,,New Project,12/30/2021,,,Residential,199.91,0.0,299.35,03/26/2022,,,14.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0
Raigarh,P52000019165,ETERNITY PHASE II,GOLDEN GREEN INFRASPACES NVR,410101,"('19.017322400000000','73.385896499999940')",New Project,12/30/2022,,,Plots,14885.0,6012.0,0.0,12/27/2018,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,14885.0,0.0
Raigarh,P52000019339,Lakshadeep Residency,Lakshadeep Realty,410206,"('18.977662426509085','73.090335965789790')",New Project,12/30/2022,,,Residential,502.86,0.0,749.92,12/08/2023,,,32.0,25.0,0.0,1.0,0.0,5.0,1.0,0.0,10.0,0.0,0.0,0.0
