district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Thane,P51700047809,Crystal Builders and Developers,CRYSTAL BUILDERS AND DEVELOPERS,421301,,New Project,05/13/2025,,,Residential,420.0,0.0,1296.74,03/14/2023,,,24.0,8.0,0.0,1.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0
Thane,P51700046843,Darshani Co-Op. Housing Soc. Ltd.,JOSHI ENTERPRISES,400601,,New Project,12/31/2024,,,Residential,654.69,0.0,1618.07,09/08/2022,,,31.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,24.0,0.0,0.0,0.0
Thane,P51700046524,AMBER YASH - A WING,SAI DEVELOPERS BADLAPUR,421503,,New Project,12/31/2024,,,Residential,704.5,0.0,1365.68,07/29/2022,,,27.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700046534,RAUNAK BLISS B1,UNNATHI ASSOCIATES,400610,,New Project,12/31/2029,,,Residential,638.4,1278.7,20962.15,01/05/2024,5.0,,273.0,136.0,0.0,1.0,2.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0
Thane,P51700046565,RAUNAK BLISS B2,UNNATHI ASSOCIATES,400615,,New Project,12/31/2029,,,Residential,638.4,1278.7,21000.39,01/05/2024,5.0,,273.0,171.0,0.0,1.0,2.0,35.0,1.0,0.0,715.0,0.0,0.0,0.0
Thane,P51700046564,RAUNAK BLISS B3,UNNATHI ASSOCIATES,400615,,New Project,12/31/2029,,,Residential,638.4,1278.7,17217.28,01/05/2024,5.0,,273.0,252.0,1.0,1.0,2.0,35.0,1.0,0.0,410.0,0.0,0.0,0.0
Thane,P51700046710,SHUBHAM KRUPA,SHREE SAMARTH DEVELOPERS,421503,,New Project,07/31/2025,,,Residential,405.51,405.51,0.0,08/21/2022,,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700048145,VISION ANAND THANSIT LAYOUT,LEELA MOHAN SURYAWANSHI,421601,"('19.534232472140350','73.340722122892770')",New Project,05/31/2033,,,Plots,43508.0,7372.0,0.0,12/02/2022,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4093.0,0.0
Thane,P51700047708,NEELKANTH SADAN,SHREEJI ENTERPRISES,421302,"('19.275085600000000','73.055411400000000')",New Project,07/30/2026,,,Residential,1184.92,0.0,3764.97,03/13/2024,,,41.0,3.0,0.0,0.0,0.0,11.0,26.0,32.0,0.0,0.0,0.0,0.0
Thane,P51700046541,Godrej Ascend Phase 2,Godrej Properties Limited,400607,"('19.229024000000000','72.983783800000000')",New Project,12/31/2028,,,Residential,925.26,6127.77,20828.0,02/15/2024,,,198.0,142.0,0.0,1.0,0.0,41.0,1.0,0.0,9.0,0.0,0.0,0.0
