district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Jalgaon,P49900015760,SAMRUDDHI HEIGHTS PHASE II,SUMIT MAHENDRA CHORDIA,425201,"('18.760075600000000','73.331814600000001')",New Project,03/30/2021,,04/30/2022,Residential,487.77,0.0,584.48,02/06/2023,,,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900015754,RAJARAM BAPU MEGA CITY PHASE I,KISHOR PITAMBAR PATIL,424105,"('18.975094100000000','73.052334000000002')",New Project,03/30/2023,,,Residential,1093.82,0.0,980.81,01/23/2023,,,20.0,20.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
Jalgaon,P49900016762,SANKALPSIDDHI,DNYANESHWAR PUNDLIK PATIL,425001,"('21.013629300000002','75.530581400000003')",New Project,03/30/2022,,,Residential,450.0,0.0,0.0,06/08/2018,,,12.0,0.0,0.0,1.0,0.0,5.0,1.0,6.0,1.0,0.0,0.0,0.0
Jalgaon,P49900015788,Aanand-Krishna,SHREE SWAMI SAMARTH TRADERS BUILDERS AND DEVELOPERS,424101,"('20.463295599999999','74.998943100000005')",New Project,12/31/2019,,,Residential,388.5,0.0,337.74,02/17/2023,,,11.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900015922,KRUSHNA CITY PHASE 3,GLOBAL BUILDERS,424101,"('20.463295599999999','74.998943100000005')",New Project,12/31/2019,,,Residential,2413.4,0.0,2893.82,10/12/2021,,,84.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900015982,GAURI CLASSIC,PATIL AND DESHMUKH ASSOCIATES,425001,"('18.973287700000000','73.109880599999997')",New Project,02/01/2021,,,Residential,511.05,0.0,787.35,08/12/2020,,,15.0,0.0,0.0,1.0,0.0,6.0,1.0,3.0,12.0,0.0,0.0,0.0
Jalgaon,P49900017375,NARAYANI PARK,SHIV CONSTRUCTION,425001,"('20.985058837516615','75.553246377354530')",New Project,12/30/2021,,,Others,773.37,0.0,1738.94,02/26/2020,,,28.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0
Jalgaon,P49900016960,LAXMI-NIRMAL HEIGHTS,YASHADA ENTERPRISES PRIVATE LIMITED,425401,,New Project,10/30/2021,,,Commercial,971.5,0.0,1351.87,11/12/2021,,,1.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0
Jalgaon,P49900017309,RUDRA APARTMENT,Mohan Bhimaji Lad,424101,"('20.509116500000000','74.988819899999950')",New Project,12/30/2026,,,Residential,331.87,0.0,416.0,08/11/2021,,,10.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
Jalgaon,P49900016900,SAI GANESH,SAI INFRA,424201,,New Project,12/30/2020,,,Residential,4541.95,0.0,3286.23,10/02/2020,,,77.0,0.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900017302,RAJARAMBAPU MEGA CITY PHASE II,KISHOR PITAMBAR PATIL,424105,,New Project,03/30/2023,,,Residential,1147.81,0.0,1034.41,01/23/2023,,,21.0,18.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
Jalgaon,P49900017838,ASHA HEIGHTS B WING,AKHLAK ISMAIL TELI,425201,,New Project,08/28/2022,,,Residential,1112.0,0.0,1209.0,09/11/2018,,,16.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
Jalgaon,P49900018214,SNEHA HEIGHTES,SNEHA DEVELOPERS,425002,"('21.003006678755580','75.544692108198550')",New Project,07/08/2029,,,Others,1439.37,0.0,2040.31,01/23/2023,,,44.0,21.0,1.0,0.0,0.0,8.0,1.0,11.0,25.0,0.0,0.0,0.0
Jalgaon,P49900018073,GAURI HERITAGE,PATIL AND PAWAR ASSOCIATES,425001,"('20.978148580116720','75.550866553350830')",New Project,09/01/2022,,,Residential,840.0,0.0,1482.4,12/08/2022,,,20.0,0.0,0.0,1.0,0.0,6.0,1.0,20.0,1.0,0.0,0.0,0.0
Jalgaon,P49900018005,GOKULDHAM,AVINASH CHAMPALAL JAKHETE,425001,,New Project,05/05/2022,,,Residential,1174.25,1174.25,1338.69,09/21/2018,,,20.0,0.0,0.0,20.0,0.0,56.0,16.0,4.0,16.0,0.0,0.0,0.0
Jalgaon,P49900018105,NAVKAR RESIDENCY,MAYA RAJESH DOSHI,425001,,New Project,04/30/2022,,,Residential,960.0,0.0,2301.29,02/01/2022,,,28.0,0.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900018352,Vasuakamal Vihar,Narendra Ziprulala Kabra,425001,,New Project,04/07/2022,,,Others,1951.05,0.0,4582.0,10/13/2021,,9.0,73.0,65.0,1.0,1.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0
Jalgaon,P49900021361,SHAKUNTALA HOMES,BHAVANA DHANANJAY THOKE,424101,"('20.481262118148205','74.990373301977570')",New Project,12/30/2022,,,Residential,881.66,0.0,740.68,06/19/2019,,,13.0,0.0,0.0,12.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900018809,GAURI-PREM ARCADE,PATIL AND MANURE ASSOCIATES,425001,"('21.013629291878590','75.541632066216830')",New Project,12/30/2021,,,Residential,511.5,0.0,690.65,07/27/2022,,,14.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,10.0,0.0,0.0,0.0
